country,url,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12
Albania,https://www.countryflags.io/AL/shiny/64.png,,,,,,,,,,0,,0,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,,,,,,,,,,,,0.2,,,,,,,0.2,,,
Andorra,https://www.countryflags.io/AD/shiny/64.png,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,,,,,,13.4,,,,,,,,,16.7,,
Argentina,https://www.countryflags.io/AR/shiny/64.png,,,,,,,,,,,,,,,,,,,,5.4,5.5,5.6,5.7,5.8,5.8,5.9,6,6.1,6.2,6.2,,6.2,,6.3,6.6,,6.8,7.1,7.1,7.1,7.5,8,8.1
Austria,https://www.countryflags.io/AT/shiny/64.png,,,,,,,,,,0.8,1.3,1.5,2.2,3.3,4.4,5.6,6.2,6.7,7.8,9.6,11.7,13.5,14.7,15,15.2,16.3,17.1,18.2,19.3,20.4,20.6,20.7,21.1,21.6,22.1,22.4,23.1,23.3,23.5,23.9,24.3,24.9,25.5
Bahrain,https://www.countryflags.io/BH/shiny/64.png,34.9,35.3,35.7,36.2,37.5,40.2,42.5,46,49.5,52.5,54.4,57.5,59.6,64.4,72.2,80.6,83.2,83.9,84.4,84.7,,,,,,97.5,98.6,99.6,99.8,100.2,100.8,101.6,102.3,102.9,104.2,105.5,107.3,112.5,118.2,125.1,129.1,132.2,136.7
Bangladesh,https://www.countryflags.io/BD/shiny/64.png,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,0.2,,1.1,2.1,,
Belgium,https://www.countryflags.io/BE/shiny/64.png,0.1,,,0.1,0.2,0.5,1.2,2,2.3,2.3,2.8,4.1,5.9,7.9,9.8,10.3,10.5,11.4,13,14.8,17.3,19.8,20.5,20.6,21.6,22.4,23.5,24.8,25.8,25.9,25.9,26.3,27.1,27.8,28.6,29.2,29.3,29.3,29.5,30,30.5,30.7,
Bermuda,https://www.countryflags.io/BM/shiny/64.png,,,,,,,,,,0,,,,,,26.7,,,,,,,47.1,,,,,,,78.6,,,,,,,120.5,,,134.9,,,
Brazil,https://www.countryflags.io/BR/shiny/64.png,,,,,,,,,,,,,,,,0,0,0,0.1,0.1,0.6,1.2,2.5,2.8,3.3,4,5.3,6.8,7.8,9.1,9.6,9.9,10.8,11.9,14.5,14.5,16,16.6,16.8,17.8,19.1,20.4,21.6
Bulgaria,https://www.countryflags.io/BG/shiny/64.png,0.7,,,,0.8,1.1,1.6,1.9,1.9,,2,2.3,2.5,2.5,2.6,2.6,2.7,2.7,2.7,2.9,3,3.1,3.1,3.1,3.2,3.4,3.6,3.9,4,4,4,4.2,4.4,4.8,5.3,5.7,5.7,5.7,6,6.4,6.8,7.4,7.8
Canada,https://www.countryflags.io/CA/shiny/64.png,,2.1,,,,,,,5.6,,,,,,,15,,,,,,,20.7,,,,,,,23.1,,,,,,,24.4,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,https://www.countryflags.io/CL/shiny/64.png,,,,0.5,0.5,0.6,,,,,,,0.6,0.7,0.7,0.7,0.7,1.3,2.2,2.4,2.8,2.9,2.9,,2.9,3,3,3,3,3,,,3.5,6.7,14.7,29.1,31,31.6,40.6,53.6,67.6,81.1,93.8
Costa Rica,https://www.countryflags.io/CR/shiny/64.png,,,,,,,,,,,,,,,4.9,,,5.7,,,,,,,9,,,,,,,9,,,,,,,9.2,,,,
Croatia,https://www.countryflags.io/HR/shiny/64.png,,,3,,3.4,,5,6.1,7.3,,,,8.4,9.3,10.1,11.2,,,13.2,,,,,,14.1,,,,,,,14.3,,14.4,14.5,,,,,14.9,,15.8,
Cyprus,https://www.countryflags.io/CY/shiny/64.png,,,,,,,,,,,,,,,,,,,,,,17.5,,,,,,,22.4,,,,,,,26,,,,,,47.6,
Czechia,https://www.countryflags.io/CZ/shiny/64.png,1.1,1.2,1.3,1.7,2.1,2.6,3.4,4.3,4.5,4.6,5.6,6.8,8.1,9.5,10.8,11.1,11.3,12.4,13.6,14.8,16.2,17.6,17.8,18,18.9,19.9,20.7,21.4,21.9,22,22,22.4,22.8,23.2,23.6,24.1,24.2,24.2,24.6,25,25.5,26,26.5
Denmark,https://www.countryflags.io/DK/shiny/64.png,6.5,8,9,9.5,11.8,15.2,18.3,19.7,20.1,20.2,20.3,20.4,22.6,25.7,28.3,29.1,29.5,30.2,30.6,30.9,31.1,31.3,31.4,31.5,31.5,31.6,31.6,31.6,31.8,32.1,32.3,32.4,32.8,33,33.3,33.5,33.7,34.1,34.5,35.1,35.7,36.6,
Ecuador,https://www.countryflags.io/EC/shiny/64.png,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,0.2,,,,,,,0.4,,,,,,,,
